fecha_registro,ciudad,barrio_original,barrio_estandarizado,altura_domicilio,tipo_vivienda,integrantes_familia,tipo_mascota,tipo_mascota_[Gatos],tipo_mascota_[Perros],perros_macho,perros_hembra,total_perros,gatos_macho,gatos_hembra,total_gatos,total_mascotas,mascota_castrada,lugar_castracion,lugar_castracion_[En forma particular],lugar_castracion_[Municipio],lugar_castracion_[No se encuentra castrada.],conoce_castracion_gratis,mascotas_vacunadas,mascotas_desparasitadas,conoce_plan_vacunacion,estilo_vida_mascota,estilo_vida_mascota_[Salen solos a la calle],estilo_vida_mascota_[Tienen identificador],estilo_vida_mascota_[Viven dentro de su hogar],frecuencia_callejeros,tipo_animal_abandonado,tipo_animal_abandonado_[Gatos],tipo_animal_abandonado_[Perros],medidas_exigidas_municipio,medidas_exigidas_municipio_[Castraciones masivas],medidas_exigidas_municipio_[Control de identificación],medidas_exigidas_municipio_[Educación],medidas_exigidas_municipio_[No es necesaria la participación del municipio],autopercepcion_responsabilidad
2026-03-11 21:47:34,San Francisco,Consolata,La Consolata,321,Casa Propia,4,Perros,,Perros,1,0,1,0,0,0,1,No,No se encuentra castrada.,,,No se encuentra castrada.,Si,Si,Si,Si,Viven dentro de su hogar,,,Viven dentro de su hogar,A veces,Perros,,Perros,Castraciones masivas,Castraciones masivas,,,,Si
2026-03-11 21:48:33,San Francisco,Jose Hernández ,José Hernández,2154,Casa Propia,4,Perros,,Perros,0,2,2,0,0,0,2,Si,En forma particular,En forma particular,,,Si,Si,Si,No,Viven dentro de su hogar,,,Viven dentro de su hogar,Todo el tiempo,Perros,,Perros,Educación,,,Educación,,Si
2026-03-11 21:53:50,San Francisco,Sarmiento ,Sarmiento,600,Casa Propia,4,Perros,,Perros,1,0,1,0,0,0,1,No,No se encuentra castrada.,,,No se encuentra castrada.,Si,Si,Si,Si,Viven dentro de su hogar,,,Viven dentro de su hogar,Todo el tiempo,Perros,,Perros,Castraciones masivas | Control de identificación | Educación,Castraciones masivas,Control de identificación,Educación,,Si
2026-03-11 21:55:45,San Francisco,Centro ,Centro,86,Departamento en Alquiler,4,Gatos,Gatos,,0,0,0,1,1,2,2,Si,Municipio,,Municipio,,Si,Si,Si,Si,Viven dentro de su hogar,,,Viven dentro de su hogar,Nunca,Perros,,Perros,Castraciones masivas | Educación,Castraciones masivas,,Educación,,Si
2026-03-11 21:58:12,San Francisco,Parque ,Barrio Parque,1048,Casa Propia,2,Gatos,Gatos,,0,0,0,3,0,3,3,Si,En forma particular,En forma particular,,,Si,Si,Si,Si,Viven dentro de su hogar,,,Viven dentro de su hogar,Todo el tiempo,Perros,,Perros,Control de identificación | Educación,,Control de identificación,Educación,,Si
2026-03-11 21:59:06,San Francisco,La Consolata,La Consolata,506,Casa Propia,5,Gatos,Gatos,,0,0,0,0,1,1,1,Si,En forma particular,En forma particular,,,Si,Si,Si,Si,Salen solos a la calle | Viven dentro de su hogar,Salen solos a la calle,,Viven dentro de su hogar,A veces,Perros,,Perros,Castraciones masivas | Educación,Castraciones masivas,,Educación,,Si
2026-03-11 22:08:13,San Francisco,El Prado ,El Prado,2888,Casa Propia,1,Perros,,Perros,0,1,1,0,0,0,1,Si,Municipio,,Municipio,,Si,Si,Si,Si,Viven dentro de su hogar,,,Viven dentro de su hogar,A veces,Perros,,Perros,Castraciones masivas | Educación,Castraciones masivas,,Educación,,Si
2026-03-11 22:13:32,San Francisco,Cotolengo,Cottolengo,2900,Casa Propia,5,Perros,,Perros,0,2,2,0,0,0,2,Si,Municipio,,Municipio,,Si,Si,Si,Si,Viven dentro de su hogar,,,Viven dentro de su hogar,Todo el tiempo,Gatos | Perros,Gatos,Perros,Control de identificación,,Control de identificación,,,Si
2026-03-11 22:13:42,San Francisco,El Prado,El Prado,1100,Casa Propia,4,Gatos | Perros,Gatos,Perros,1,0,1,0,2,2,3,Si,Municipio,,Municipio,,Si,Si,Si,No,Viven dentro de su hogar,,,Viven dentro de su hogar,Todo el tiempo,Perros,,Perros,Castraciones masivas | Control de identificación | Educación,Castraciones masivas,Control de identificación,Educación,,Si
2026-03-11 22:14:06,San Francisco,Magdalena,Magdalena,4040,Casa Propia,4,Perros,,Perros,1,0,1,0,0,0,1,No,No se encuentra castrada.,,,No se encuentra castrada.,Si,Si,Si,No,Salen solos a la calle | Viven dentro de su hogar,Salen solos a la calle,,Viven dentro de su hogar,Todo el tiempo,Gatos | Perros,Gatos,Perros,Castraciones masivas | Educación,Castraciones masivas,,Educación,,Si
2026-03-11 22:20:34,San Francisco,Chalet,Chalet,200,Casa en Alquiler,5,Perros,,Perros,0,1,1,0,0,0,1,Si,Municipio,,Municipio,,Si,Si,Si,Si,Viven dentro de su hogar,,,Viven dentro de su hogar,A veces,Perros,,Perros,Educación,,,Educación,,Un poco
2026-03-11 22:22:47,San Francisco,El Prado,El Prado,1100,Casa Propia,3,Perros,,Perros,3,0,3,0,0,0,3,No,No se encuentra castrada.,,,No se encuentra castrada.,Si,Si,Si,Si,Viven dentro de su hogar,,,Viven dentro de su hogar,Todo el tiempo,Perros,,Perros,Castraciones masivas | Control de identificación,Castraciones masivas,Control de identificación,,,Si
2026-03-11 22:25:00,San Francisco,20 de junio ,20 de Junio,4000,Casa Propia,3,Perros,,Perros,2,0,2,0,2,2,4,Si,Municipio,,Municipio,,Si,Si,Si,Si,Viven dentro de su hogar,,,Viven dentro de su hogar,Nunca,Gatos,Gatos,,Control de identificación,,Control de identificación,,,Si
2026-03-11 22:25:40,Otra,Fátima,Fátima,2081,Casa Propia,2,Perros,,Perros,1,0,1,0,0,0,1,No,No se encuentra castrada.,,,No se encuentra castrada.,Si,Si,Si,No,Salen solos a la calle | Viven dentro de su hogar,Salen solos a la calle,,Viven dentro de su hogar,Todo el tiempo,Perros,,Perros,Control de identificación | Educación,,Control de identificación,Educación,,Si
